	Wolf1_S70	Wolf10_S79	Wolf11_S80	Wolf12_S81	Wolf13_S82	Wolf14_S83	Wolf15_S84	Wolf16_S85	Wolf17_S86	Wolf18_S87	Wolf19_S88	Wolf2_S71	Wolf20_S89	Wolf21_S90	Wolf22_S91	Wolf23_S92	Wolf24_S93	Wolf25_S94	Wolf3_S72	Wolf4_S73	Wolf5_S74	Wolf6_S75	Wolf7_S76	Wolf8_S77	Wolf9_S78
ASV 221 _	0	0	0	0	0	0	0	0	0	0	0	0	0	0	192	0	0	0	0	0	0	0	0	0	0
ASV 222 _	0	0	0	0	0	0	43	0	96	29	0	0	0	2	0	0	0	0	0	0	9	12	0	0	0
ASV 223 _	0	0	0	0	0	0	0	0	0	0	0	190	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV 224 _	6	0	69	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	3	4	102	0	0
ASV 225 _	0	0	0	0	0	0	0	0	0	0	0	0	0	0	188	0	0	0	0	0	0	0	0	0	0
ASV 226 _	0	0	0	0	0	0	0	0	21	36	0	0	0	0	0	0	0	0	0	0	4	0	0	126	0
ASV 227 _	0	0	0	0	0	0	0	0	0	0	0	131	0	0	0	54	0	0	0	0	0	0	0	0	0
ASV 228 _	0	0	0	0	0	0	0	147	0	0	5	0	27	0	0	0	0	0	0	0	0	5	0	0	0
ASV 229 _	0	27	0	0	0	0	0	0	2	0	0	43	0	0	0	0	3	0	0	0	7	7	0	91	0
ASV 230 _	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	130	50	0	0	0
ASV 231 _	0	0	4	0	0	0	6	61	14	21	0	0	0	1	0	0	34	0	0	0	9	18	7	0	4
ASV 232 _	0	0	0	0	0	0	4	14	0	0	0	0	38	120	0	0	0	0	0	0	2	1	0	0	0
ASV 233 _	5	0	0	0	0	0	50	0	0	0	0	0	0	8	0	0	12	0	0	0	13	27	31	31	0
ASV 234 _	0	0	0	0	0	0	0	0	0	0	35	0	0	0	0	0	0	0	0	0	112	30	0	0	0
ASV 235 _	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	145	0	0	0	0	0	22
ASV 236 _	0	0	0	0	0	0	12	0	0	0	0	0	0	0	152	0	0	0	0	0	4	6	0	0	0
ASV 237 _	29	0	0	0	0	0	0	0	29	9	0	0	7	0	0	0	0	0	0	0	24	61	14	0	0
ASV 238 _	0	0	0	0	0	0	0	0	1	1	0	152	0	0	0	0	19	0	0	0	0	0	0	0	0
ASV 239 _	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	173	0	0	0	0	0	0	0
ASV 240 _	0	102	0	0	0	0	0	0	0	0	0	70	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV 241 _	0	171	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV 242 _	0	0	0	0	0	0	0	27	70	73	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV 243 _	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	169	0	0	0	0	0	0
ASV 244 _	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	169	0	0	0	0	0	0
ASV 245 _	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	115	54	0	0	0
ASV 246 _	1	71	0	0	0	0	1	0	0	0	0	52	0	0	0	0	0	0	0	0	10	9	0	0	24
ASV 247 _	0	0	149	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	9	0	0	0
ASV 248 _	0	164	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV 249 _	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	163	0
ASV 250 _	0	0	0	0	0	0	0	159	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV 251 _	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	159	0
ASV 252 _	7	0	0	0	0	0	0	53	0	0	0	55	0	0	0	0	0	0	0	0	16	15	12	0	0
ASV 253 _	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	158	0	0	0	0	0	0
ASV 254 _	0	82	0	0	38	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	9	9	9	0	0
ASV 255 _	0	0	0	0	0	0	0	0	0	0	0	156	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV 256 _	0	0	0	0	0	0	0	0	0	0	0	156	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV 257 _	0	0	0	0	0	12	0	0	62	80	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
ASV 258 _	0	11	53	0	0	0	22	0	40	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV 259 _	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	153	0	0	0	0	0	0	0
ASV 260 _	0	152	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV 261 _	0	0	0	0	6	0	0	90	0	0	0	0	12	0	0	0	8	0	0	0	8	28	0	0	0
ASV 262 _	0	0	0	0	0	0	0	0	0	0	152	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV 263 _	0	0	0	0	0	0	0	142	6	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0
ASV 264 _	0	0	0	0	0	0	0	0	0	0	0	151	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV 265 _	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	151	0	0	0	0	0	0
ASV 266 _	0	0	0	0	50	0	0	75	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0
ASV 267 _	0	0	0	0	0	0	0	0	71	79	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV 268 _	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	150	0	0	0	0	0	0
ASV 269 _	0	0	0	0	0	0	0	0	0	0	126	0	0	0	0	0	0	23	0	0	0	0	0	0	0
ASV 270 _	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	149	0	0	0	0	0	0
ASV 271 _	8	0	0	0	0	0	14	0	2	1	0	0	7	32	0	0	0	0	0	0	9	28	33	0	14
ASV 272 _	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	148	0
ASV 273 _	0	0	0	0	0	0	3	0	67	77	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV 274 _	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	130
ASV 275 _	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	145	0	0	0	0	0	0
ASV 276 _	14	0	0	0	0	46	2	24	0	0	0	0	0	0	0	0	26	0	0	0	5	14	12	1	0
ASV 277 _	0	0	16	0	0	0	0	0	69	55	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0
ASV 278 _	0	0	0	57	14	0	0	0	0	0	0	0	3	0	0	0	0	0	69	0	0	0	0	0	0
ASV 279 _	0	0	0	40	0	0	3	0	0	0	0	0	0	0	0	0	15	0	0	0	23	61	0	0	0
ASV 280 _	0	0	0	0	0	0	0	0	53	87	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV 281 _	0	138	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV 282 _	0	0	0	0	0	0	0	0	0	0	0	138	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV 283 _	0	0	0	0	0	0	0	0	30	35	72	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV 284 _	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	137	0	0	0	0	0	0
ASV 285 _	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	137	0	0	0	0	0	0
ASV 286 _	6	0	13	73	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	5	4	10	0	16
ASV 287 _	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	135	0	0	0	0	0	0
ASV 288 _	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	135
ASV 289 _	0	0	0	0	0	0	0	64	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	69	0
ASV 290 _	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	134
ASV 291 _	0	0	0	133	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV 292 _	0	0	0	7	0	0	4	0	0	0	0	0	0	0	0	8	0	0	0	0	19	34	1	59	0
ASV 293 _	0	0	0	0	0	0	0	0	0	0	0	132	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV 294 _	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44	88	0	0	0
ASV 295 _	2	0	0	6	43	0	16	0	0	0	0	0	0	8	0	0	56	0	0	0	0	0	0	0	0
ASV 296 _	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	130	0	0	0	0	0	0
ASV 297 _	0	100	0	8	0	7	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11
ASV 298 _	0	0	0	0	0	0	0	0	0	0	0	129	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV 299 _	0	0	0	0	0	0	0	0	0	0	0	128	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV 300 _	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	128	0	0	0	0	0	0	0
ASV 301 _	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	128	0	0	0	0	0	0
ASV 302 _	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	128	0
ASV 303 _	0	0	0	0	0	0	0	24	11	18	0	0	0	0	67	0	7	0	0	0	0	0	0	0	0
ASV 304 _	0	0	0	0	0	0	0	0	68	59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV 305 _	0	0	0	0	0	0	0	0	56	71	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV 306 _	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	127	0	0	0	0	0	0
ASV 307 _	0	125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV 308 _	0	0	0	0	11	58	0	6	0	0	0	0	0	0	0	0	0	0	0	0	4	7	0	0	39
ASV 309 _	11	0	10	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	94	0	0
ASV 310 _	0	0	0	0	0	0	0	107	0	0	0	0	0	0	0	0	0	0	0	0	4	13	0	0	0
ASV 311 _	0	0	0	0	0	0	0	0	0	0	0	0	0	124	0	0	0	0	0	0	0	0	0	0	0
ASV 312 _	0	0	0	0	0	60	0	0	1	0	0	0	0	0	0	0	0	0	9	0	19	34	0	0	0
ASV 313 _	0	0	0	0	0	0	0	79	0	0	0	0	31	0	0	0	0	0	0	0	0	0	13	0	0
ASV 314 _	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	123	0
ASV 315 _	1	28	0	0	0	0	0	0	8	0	0	85	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV 316 _	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	122	0	0	0	0	0	0	0	0	0
ASV 317 _	0	0	0	121	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV 318 _	0	0	0	0	0	0	0	0	0	0	0	86	35	0	0	0	0	0	0	0	0	0	0	0	0
ASV 319 _	1	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	101	0	0	0	0	0	0	0	0
ASV 320 _	0	0	0	24	0	36	3	0	0	0	0	7	0	0	0	0	0	25	0	0	0	0	0	25	0
ASV 321 _	0	0	0	0	0	0	0	0	0	0	116	0	0	4	0	0	0	0	0	0	0	0	0	0	0
ASV 322 _	1	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	17	38	59	0	0
ASV 323 _	0	0	0	95	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV 324 _	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	9	0	86	0
ASV 325 _	6	0	0	0	0	0	2	53	0	0	0	0	0	0	0	0	23	0	0	0	9	9	0	0	15
ASV 326 _	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	33	56	22	0	0
ASV 327 _	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	116	0	0	0	0	0	0
ASV 328 _	0	0	0	0	0	0	0	0	0	0	0	0	46	0	0	0	3	0	66	0	0	0	0	0	0
ASV 329 _	0	0	0	0	0	0	4	0	23	26	0	0	38	0	0	0	0	22	0	0	0	0	0	0	0
ASV 330 _	0	0	0	0	0	0	0	0	0	0	0	113	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV 331 _	0	0	0	0	0	0	0	0	64	48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV 332 _	0	0	0	0	0	0	0	0	59	53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV 333 _	0	0	0	0	0	0	0	0	0	0	0	112	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV 334 _	0	0	0	0	38	63	4	0	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV 335 _	0	0	0	0	0	0	0	0	56	55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV 336 _	0	0	0	0	0	0	0	0	0	0	111	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV 337 _	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	111	0	0	0	0	0	0	0
ASV 338 _	0	72	0	0	0	0	0	0	23	4	0	0	0	5	0	0	0	0	0	0	4	2	0	0	0
ASV 339 _	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	110	0	0	0	0	0	0
ASV 340 _	0	0	0	0	0	0	0	0	0	0	0	0	0	0	109	0	0	0	0	0	0	0	0	0	0
ASV 341 _	0	0	0	0	0	1	7	0	0	0	0	0	0	0	0	0	0	0	0	0	71	29	0	0	0
ASV 342 _	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	108	0	0	0	0	0	0	0
ASV 343 _	0	0	0	0	0	0	0	107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV 344 _	0	0	0	0	0	0	0	0	0	0	0	107	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV 345 _	0	106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV 346 _	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	106	0	0	0	0	0	0
ASV 347 _	0	0	0	0	105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV 348 _	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	104	0	0	0	0	0	0
ASV 349 _	0	0	0	103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV 350 _	0	0	0	0	0	0	0	0	52	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV 351 _	0	0	0	0	0	0	0	0	92	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV 352 _	0	0	0	0	0	0	0	0	0	0	0	102	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV 353 _	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	102	0	0	0	0	0	0
ASV 354 _	0	0	0	88	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0
ASV 355 _	0	0	0	0	0	0	15	5	5	1	0	0	0	0	0	0	0	0	0	0	27	43	5	0	0
ASV 356 _	0	0	0	0	0	0	0	0	53	48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV 357 _	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	1	0	0	0	37	20	40	0	0
ASV 358 _	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	101	0	0	0	0	0	0
ASV 359 _	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	101	0
ASV 360 _	4	0	0	0	0	68	9	0	9	0	0	0	0	6	0	0	0	0	0	0	0	4	0	0	0
ASV 361 _	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0
ASV 362 _	0	99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV 363 _	0	0	0	99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV 364 _	0	0	0	30	0	0	0	0	3	6	0	0	0	0	0	0	0	0	15	0	10	26	9	0	0
ASV 365 _	0	0	0	0	0	0	0	65	1	2	0	0	0	0	0	0	4	0	0	0	12	15	0	0	0
ASV 366 _	0	0	0	0	0	0	0	0	36	63	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV 367 _	0	0	2	0	0	0	1	76	0	0	0	0	0	0	0	0	15	0	0	0	0	0	4	0	0
ASV 368 _	0	0	0	98	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV 369 _	0	0	0	30	57	0	7	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV 370 _	0	0	0	0	0	0	0	0	54	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV 371 _	0	0	0	0	0	0	0	0	49	49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV 372 _	0	0	0	0	0	0	0	0	0	0	0	42	0	0	56	0	0	0	0	0	0	0	0	0	0
ASV 373 _	0	0	0	0	0	0	0	0	43	54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV 374 _	0	0	0	0	0	0	0	0	0	0	0	97	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV 375 _	0	0	0	0	0	0	0	0	0	0	0	97	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV 376 _	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	97	0	0	0	0	0	0
ASV 377 _	2	0	0	0	0	0	12	0	20	0	0	0	0	20	0	0	10	0	0	0	6	12	14	0	0
ASV 378 _	0	0	0	0	0	41	0	0	17	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV 379 _	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	96	0	0	0	0	0	0
ASV 380 _	0	53	0	0	0	0	0	0	24	10	0	0	0	0	0	0	0	0	0	0	2	4	0	0	0
ASV 381 _	0	92	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV 382 _	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	7	0	43	0	5	11	6	0	0
ASV 383 _	6	0	0	0	0	0	2	0	5	0	0	3	0	0	0	0	0	0	0	0	16	50	8	0	0
ASV 384 _	0	0	0	90	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV 385 _	0	0	0	0	0	0	0	59	0	0	0	0	23	0	0	0	0	0	0	0	0	0	8	0	0
ASV 386 _	0	0	0	0	0	0	0	0	0	0	0	0	90	0	0	0	0	0	0	0	0	0	0	0	0
ASV 387 _	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	90	0
ASV 388 _	5	74	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	7	0	0	0
ASV 389 _	0	0	0	0	0	0	0	0	30	22	0	0	15	0	0	0	1	20	0	0	0	0	0	0	1
ASV 390 _	0	18	8	2	0	3	19	0	1	0	0	5	0	0	0	11	0	0	0	0	12	8	1	0	0
ASV 391 _	0	0	0	88	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV 392 _	0	0	0	88	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV 393 _	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	13	0	0	0	18	56	0	0	0
ASV 394 _	0	0	0	0	0	0	0	88	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV 395 _	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	88	0
ASV 396 _	0	87	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV 397 _	0	87	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV 398 _	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	87	0	0	0	0	0	0
ASV 399 _	2	0	0	53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	23	0	0	0
ASV 400 _	0	0	0	86	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV 401 _	0	0	0	0	0	0	0	86	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV 402 _	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	86	0	0	0	0	0	0
ASV 403 _	0	0	0	85	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV 404 _	0	0	0	85	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV 405 _	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	53
ASV 406 _	0	0	0	0	0	0	0	0	28	12	0	0	0	1	0	0	38	0	0	0	0	6	0	0	0
ASV 407 _	0	0	0	0	0	0	0	0	0	0	0	85	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV 408 _	0	0	0	0	0	0	0	0	0	0	0	0	0	8	76	0	0	0	1	0	0	0	0	0	0
ASV 409 _	0	0	0	84	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV 410 _	0	0	0	0	0	0	0	84	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV 411 _	0	0	0	0	0	0	0	84	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV 412 _	0	0	0	0	0	0	0	65	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19
ASV 413 _	0	0	0	0	83	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV 414 _	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	55	0	0	0
ASV 415 _	0	0	0	82	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV 416 _	0	0	0	0	82	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV 417 _	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	61	0	0	0
ASV 418 _	0	0	0	81	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV 419 _	0	0	0	0	0	0	0	81	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV 420 _	0	24	2	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	29	0	0	0
ASV 421 _	0	0	0	80	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV 422 _	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	80	0	0	0	0	0	0
ASV 423 _	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	80	0	0	0	0	0	0
ASV 424 _	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	80	0	0	0	0	0	0
ASV 425 _	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	80	0
ASV 426 _	79	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV 427 _	0	0	0	0	0	79	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV 428 _	0	0	0	0	0	79	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV 429 _	0	0	0	0	0	0	0	2	3	2	0	0	0	14	0	0	0	0	0	0	21	37	0	0	0
ASV 430 _	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	79	0	0	0	0	0	0
ASV 431 _	1	1	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	52	0	0	0	0	0	10
ASV 432 _	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	33	0	0	0	3	2	0	0	0
ASV 433 _	0	0	0	0	0	78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV 434 _	0	0	0	0	0	0	0	0	38	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV 435 _	0	0	0	0	0	0	0	0	0	0	0	65	0	0	0	0	0	0	0	0	0	0	0	0	12
ASV 436 _	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55	16	6	0	0
ASV 437 _	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	77	0
ASV 438 _	10	0	0	5	0	0	0	2	0	0	0	42	0	0	0	0	0	0	0	0	4	13	0	0	0
ASV 439 _	0	0	0	76	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV 440 _	0	0	0	76	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV 441 _	0	0	0	0	0	0	0	76	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV 442 _	0	0	0	0	0	0	0	0	3	0	4	0	14	0	55	0	0	0	0	0	0	0	0	0	0
ASV 443 _	0	0	0	0	0	0	0	0	1	3	0	0	1	70	0	0	0	0	0	0	0	0	1	0	0
ASV 444 _	0	0	0	0	0	0	0	0	0	0	0	76	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV 445 _	0	0	0	0	0	0	0	0	0	0	0	76	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV 446 _	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	76	0
ASV 447 _	0	0	0	75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV 448 _	0	0	0	0	0	0	0	0	0	0	0	75	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV 449 _	0	18	0	0	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0
ASV 450 _	0	0	0	0	0	74	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV 451 _	0	0	0	0	0	0	0	0	0	0	74	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV 452 _	0	0	0	0	0	0	0	0	0	0	0	74	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV 453 _	0	73	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV 454 _	0	0	0	73	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV 455 _	0	0	0	0	0	0	0	0	38	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV 456 _	0	0	0	0	0	0	0	0	0	0	0	73	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV 457 _	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	73	0	0	0	0	0	0	0	0	0
