Run	Collection_Date	Depth	env_biome	collection_date	Kd	PAR	Temperature	Salinity	Oxygen	pH	No3+No2	PO4	SiOH4	POC	PON	SPM	CHLa	N/P	season	thesis_name
18S_2.EEC43	2011/2013	3	sea water	4/4/2011	0.43	17.85	9	34.4	7.6	8.4	1.57	0.07	0.17	300.77	45.63	3.29	9.9	22.4	spring	sample_01_2011_04
18S_2.EEC32	2011/2013	3	sea water	5/4/2011	0.3	37.02	11.8	34.5	6.5	8.3	0.1	0.13	0.43	355.94	60.26	6.29	1.9	0.77	spring	sample_02_2011_05
18S_2.EEC46	2011/2013	3	sea water	7/4/2011	0.22	51.96	17.7	34.5	5.9	8.22	0.34	0.05	1.66	237.84	35.61	2.28	1.3	6.8	summer	sample_03_2011_07
18S_1.EEC21	2011/2013	3	sea water	9/27/2011	0.21	23.98	17	34.5	5.6	8.2	3.12	0.16	2.88	178.97	35.01	3.13	2.2	19.5	summer	sample_04_2011_09
18S_2.EEC39	2011/2013	3	sea water	11/23/2011	0.18	10.12	12.1	34.5	5.9	8.11	11.2	0.43	0.35	153.49	22.2	1.59	0.4	26	winter	sample_05_2011_11
18S_1.EEC08	2011/2013	3	sea water	1/24/2012	0.52	3.62	8.1	33.9	6.4	8.18	15.1	0.75	6.21	154.6	25.3	10.31	1	20.1	winter	sample_06_2012_01
18S_1.EEC18	2011/2013	3	sea water	4/5/2012	0.67	19.8	8.5	34.5	8.2	8.38	0.2	1.06	3.1	576.48	5.33	2.76	4.5	0.19	spring	sample_07_2012_04
18S_2.EEC44	2011/2013	3	sea water	5/9/2012	0.23	20.62	10.9	34.7	6.7	8.33	0.14	1.2	1.07	328.81	36.22	1.86	3.4	0.12	spring	sample_08_2012_05
18S_2.EEC34	2011/2013	3	sea water	7/23/2012	0.36	38.93	17.6	33.5	5.9	8.23	0.18	0.22	0.96	481.78	61.56	2.09	7.9	0.82	summer	sample_09_2012_07
18S_1.EEC14	2011/2013	3	sea water	9/3/2012	0.28	25.74	18.5	34.2	5.4	8.14	0.1	0.22	1.74	268.62	37.72	1.27	2.8	0.45	summer	sample_10_2012_09
18S_1.EEC30	2011/2013	3	sea water	2/11/2013	0.45	3.8	6.5	33.8	6.8	8.19	9.23	0.43	2.92	260	44.85	3.17	3.6	21.45	winter	sample_11_2013_02
18S_1.EEC23	2011/2013	3	sea water	4/8/2013	0.49	21.41	5.44	34.41	7.2	8.29	2.89	0.25	0.01	412.04	80.24	6.16	4.42	11.56	spring	NA
18S_2.EEC31	2011/2013	3	sea water	4/24/2013	0.3	26.3	7.86	34.41	7.6	8.37	0.6	0.09	0.01	584.2	83.56	2.7	8.33	6.67	spring	sample_12_2013_04
18S_2.EEC50	2011/2013	3	sea water	5/27/2013	0.23	40.31	11.26	34.1	6.57	8.38	2.1	0.04	0.01	271.12	48.88	1.18	1.94	52.5	spring	NA
18S_2.EEC53	2011/2013	3	sea water	7/9/2013	0.29	42.47	15.71	34.16	5.96	8.39	0.36	0.12	0.1	713.08	68.15	1.9	5.21	3	summer	sample_13_2013_07
